process_id,start_time,end_time,duration
7,1,24,23
31,24,47,23
38,47,48,1
12,48,71,23
23,71,85,14
34,85,108,23
21,108,123,15
29,123,146,23
16,146,169,23
17,169,172,3
39,172,195,23
2,195,212,17
22,212,220,8
15,220,243,23
1,243,266,23
19,266,274,8
6,274,297,23
7,297,308,11
25,308,311,3
28,311,329,18
32,329,341,12
14,341,364,23
20,364,367,3
35,367,375,8
13,375,381,6
37,381,403,22
33,403,426,23
36,426,439,13
4,439,441,2
8,441,464,23
11,464,487,23
18,487,510,23
3,510,512,2
9,512,535,23
24,535,547,12
26,547,570,23
27,570,593,23
31,593,601,8
30,601,607,6
40,607,630,23
5,630,653,23
10,653,676,23
12,676,682,6
34,682,705,23
29,705,719,14
16,719,728,9
39,728,747,19
15,747,754,7
1,754,757,3
6,757,760,3
14,760,783,23
33,783,791,8
8,791,799,8
11,799,819,20
18,819,829,10
9,829,849,20
26,849,854,5
27,854,873,19
40,873,892,19
5,892,915,23
10,915,920,5
34,920,922,2
14,922,925,3
5,925,927,2
